CODIGO_REGIONAL;REGIONAL;CODIGO_SEDE;SEDE;FICHA;FECHA_INICIO;FECHA_FIN;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA;NIVEL_FORMACION;MATRICULADOS;CERTIFICADOS;TOTAL_APRENDICES;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934094;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;17;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934730;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720007;1;AUDITORIA INFORMATICA: CONCEPTUALIZACION;CURSO ESPECIAL;80;18;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906832;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;22810741;2;USO DE EXCEL Y ACCESS PARA EL DESARROLLO DE APLICACIONES ADMINISTRATIVAS EMPRESARIALES;CURSO ESPECIAL;80;7;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906821;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;22810748;3;PROCESOS DE SOPORTE TECNICO PARA EL MANTENIMIENTO DE EQUIPOS DE COMPUTO;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934733;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720007;1;AUDITORIA INFORMATICA: CONCEPTUALIZACION;CURSO ESPECIAL;80;18;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934089;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2935204;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720168;2;APRENDIZ DIGITAL;CURSO ESPECIAL;80;7;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934109;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965209;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965173;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21730030;1;DISEÑO WEB CON ADOBE DREAMWEAVER;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934745;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;10;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
