CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;MODALIDAD_FORMACION;NIVEL_FORMACION;NUMERO_CURSOS;JOVENES_VULNERABLES___Aprendices_Masc_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Fem_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_NoBin_de_17_años_y_menores;JOVENES_VULNERABLES___Total_Aprendices_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Masc_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_Fem_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_NoBin_de_18_años_y_mayores;JOVENES_VULNERABLES___Total_Aprendices_de_18_años_y_mayores;GRAN_TOTAL_APRENDICES;TOTAL_HORAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;2135;ATENCION A INSTITUCIONES;2567910;12567910;228106;102;ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;2135;ATENCION A INSTITUCIONES;2606496;12606496;233105;1;MANTENIMIENTO DE EQUIPOS DE COMPUTO.;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;256;EL TAMBO;4;CURSOS FIC;N;0;;2612803;12612803;832202;2;INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES;PRESENCIAL;TÉCNICO;1;0;0;0;0;3;1;0;4;4;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;318;GUAPI;0;;;0;;2613973;12613973;233101;1;SISTEMAS.;PRESENCIAL;TÉCNICO;1;0;0;0;0;0;3;0;3;3;12:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2614043;12614043;228118;1;ANALISIS Y DESARROLLO DE SOFTWARE.;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;2;4;0;6;6;180:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;0;;2614046;12614046;137136;1;INTEGRACION DE OPERACIONES LOGISTICAS;PRESENCIAL;TÉCNICO;1;0;0;0;0;3;4;0;7;7;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2614126;12614126;842405;102;JOYERIA ARMADA;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;1;0;2;2;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;0;;2616544;12616544;834258;1;SOLDADURA DE PRODUCTOS METALICOS EN PLATINA;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2617589;12617589;837101;1;MECANICA DE MAQUINARIA INDUSTRIAL;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;0;;2617613;12617613;228106;102;ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;12;7;0;19;19;216:05:00
